0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:07 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:07 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:08 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:08 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:09 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:09 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:16 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:16 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:54 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:54 +0900] "GET /myecsite/css/style.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:55 +0900] "GET /myecsite/ HTTP/1.1" 200 657
